event_id,name,group_name,num_members,category_name,weight,year,month,dow
243930425,2017 Nashville Walk to End Alzheimers - October 14th,Fight against Alzheimer’s Disease/Walk'n to End ALZ,3,Community & Environment,1,2017,10,5
244208851,Steak Dinner on the Patio,Chihuahua's Nashville - Tiny & Mighty,3,Pets & Animals,1,2017,10,6
pxlktnywnbfb,Schedule Meetup,Trichotillomania and Skin-Picking Disorder Support Group,6,Support,2,2017,10,1
244444551,"Happy Hour Wednesday, Jonathan's Green Hills, Oct. 25",Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,10,2
244257722,"Happy Hour Wednesday, Brentwood, Oct. 18",Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,10,2
243997614,"Cocktails at the Top, Brentwood ",Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,10,3
243711748,Happy Hour Wednesday ,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,9,3
243587675,Tennessee Craft Fair on Sunday Afternoon 9/24,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,9,6
243026202,3rd Weds. Lunch mixer at O'Charleys,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,9,2
243475377,Trivia Night at Plantation Pub,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,9,1
243026119,1st Tuesday Ladies Lunch at Chili's Bellevue,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,9,1
242392448,Ladies Lunch at O'Charley'­s on Thursday,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,8,3
241886029,3rd Weds. Networking Lunch Mixer at O'Charleys,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,8,2
241730271,Lunch Mixer at O'Charley'­s on Thursday July 20,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,7,3
240193613,Ladies Lunch Social at O'Charley'­s on Thursday June 1,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,6,3
239944117,Cocktails & Networking at the Top May 17,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,5,2
238479980,Ladies Lunch in Bellevue March 23 at 1 pm,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,3,3
237736080,Ladies Lunch Feb. 16 at 1 pm,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2017,2,3
234178292,Happy Hour Wednesdays at Jonathan's in Bellevue,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,10,2
234008415,Happy Hour Wednesdays at Jonathan's in Bellevue Sept. 21,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,9,2
233855117,Happy Hour Wednesdays at Jonathan's in Bellevue,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,9,2
233579762,"Easy Beginner's Hike at Edwin Warner, Sun. 6:30",Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,8,6
233579670,Happy Hour Wednesday at Hilton Garden Inn Aug. 24,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,8,2
233476897,"Easy Beginner's Hike at Edwin Warner, Sun. 6:30",Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,8,6
233235249,Happy Hour Wednesday at Hilton Garden Inn Aug. 10,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,8,2
232668583,Networking Happy Hour at Hilton Garden Inn in Brentwood July 20,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,7,2
232642712,Entrepreneurship in the 21st Century,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,7,5
232543768,Networking Happy Hour at Hilton Garden Inn in Brentwood July 13,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,7,2
231460443,"Skincare Workshop at Lotus Blooming Yoga in Bellevue, Sun, June 19",Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,6,6
231912692,Happy Hour Tonight!,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,6,2
231274089,Lunch Mixer Thursday May 26,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,5,3
231104506,Tennessee Ren Fest Saturday May 21,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,5,5
231090426,Networking Happy Hour at Hilton Garden Inn in Brentwood May 18,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,5,2
230900387,Lunch Mixer Thursday May 12,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,5,3
230972361,Networking Happy Hour at Hilton Garden Inn in Brentwood May 11,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,5,2
230934372,Just for Fun: Tennessee Ren Fest Saturday May 7,Bellevue Business Buzz Networking  Group,5,Career & Business,40,2016,5,5
239499597,The Basics of cloud Computing,Nashville Business Strategy Meetup,2,Career & Business,12,2017,6,2
239945716,Carnegie Writers/Green Hills Library,Nashville Business Strategy Meetup,2,Career & Business,12,2017,6,5
236180427,Wired Senior Workshop,Nashville Business Strategy Meetup,2,Career & Business,12,2017,1,3
233471167,Wired Senior Workshop,Nashville Business Strategy Meetup,2,Career & Business,12,2016,10,3
233830558,"Consider ""storytelling by resume""?",Nashville Business Strategy Meetup,2,Career & Business,12,2016,9,0
232878772,Work on your LinkedIn Profile,Nashville Business Strategy Meetup,2,Career & Business,12,2016,8,0
231005223,"""iPhoneBasics""",Nashville Business Strategy Meetup,2,Career & Business,12,2016,6,1
230056380,Journaling/Blogging/Podcasting CraftContent 2016,Nashville Business Strategy Meetup,2,Career & Business,12,2016,4,5
227618948,Communicating in The 21st Century,Nashville Business Strategy Meetup,2,Career & Business,12,2016,3,3
227618936,Communicating in The 21st Century,Nashville Business Strategy Meetup,2,Career & Business,12,2016,3,1
227044616,Communicating in The 21st Century,Nashville Business Strategy Meetup,2,Career & Business,12,2016,2,2
226349699,Talk about the five steps to create a successful podcast,Nashville Business Strategy Meetup,2,Career & Business,12,2015,11,1
244446326,"Happy Hour Wednesday, Jonathan's Green Hills, Oct. 25",Nashville Women & Beauty,5,Fashion & Beauty,11,2017,10,2
244262821,"Happy Hour Wednesday, Brentwood, Oct. 18",Nashville Women & Beauty,5,Fashion & Beauty,11,2017,10,2
243988264,Wine Down Thursday in Brentwood,Nashville Women & Beauty,5,Fashion & Beauty,11,2017,10,3
243869312,"Wine Down Thursday, Murfreesboro",Nashville Women & Beauty,5,Fashion & Beauty,11,2017,10,3
243711769,Happy Hour Wednesday ,Nashville Women & Beauty,5,Fashion & Beauty,11,2017,9,3
243240368,3rd Weds. Lunch mixer at O'Charleys,Nashville Women & Beauty,5,Fashion & Beauty,11,2017,9,2
243075137,1st Tuesday Ladies Lunch at Chili's Bellevue,Nashville Women & Beauty,5,Fashion & Beauty,11,2017,9,1
242775576,Lunch Mixer at O'Charley'­s on Thursday,Nashville Women & Beauty,5,Fashion & Beauty,11,2017,8,3
241779221,Networking Lunch at O'Charley'­­s Bellevue Thursday July 20,Nashville Women & Beauty,5,Fashion & Beauty,11,2017,7,4
240191942,"Ladies Lunch Social at O'Charley's Bellevue on Thursday, June 1",Nashville Women & Beauty,5,Fashion & Beauty,11,2017,6,3
240041511,Cocktails & Networking at the Top May 17,Nashville Women & Beauty,5,Fashion & Beauty,11,2017,5,2
234867689,****Meet me at the Business Boutique (2-day event)****,Nashville Women & Beauty,5,Fashion & Beauty,11,2016,11,4
234847818,First meet up *** Happy Hour***,Nashville Women & Beauty,5,Fashion & Beauty,11,2016,10,2
nvrmwnywnbzb,Come to this FREE meeting to learn more about our Digital Currency Software,Nashville Digital Currency Ecommerce Opportunity Event,6,Tech,1,2017,10,4
zmrsvnywnbkb,Schedule a Meetup,Nashville OCD Support Group for Friends & Family Meetup,7,Support,1,2017,10,5
243717563,Join the Essential Oil Journey (Evening Hours!),Franklin Essentially doTERRA Workshops,8,Health & Wellbeing,2,2017,10,1
zjjbvnywnbmb,Join The Essential Oil Journey,Franklin Essentially doTERRA Workshops,8,Health & Wellbeing,2,2017,10,0
243649886,Franklin/Nashville Parental Alienation Support,Franklin/Nashville Parental Alienation Support Meetup,9,Support,8,2017,10,3
242809790,Franklin/Nashville Parental Alienation Support,Franklin/Nashville Parental Alienation Support Meetup,9,Support,8,2017,9,3
242094947,Franklin/Nashville Parental Alienation Support,Franklin/Nashville Parental Alienation Support Meetup,9,Support,8,2017,8,3
241556640,Franklin/Nashville Parental Alienation Support,Franklin/Nashville Parental Alienation Support Meetup,9,Support,8,2017,7,3
240463114,Saturday June 3rd First Meetup For Witch's United,"witchcraft united - leading, teaching, learning & practicing",9,New Age & Spirituality,1,2017,6,5
pjpnwnywnbwb,Bring your business cards and be ready to tell about yourself,Sumner County Moms in Business,9,Career & Business,2,2017,10,2
thpnwnywnbwb,Bring your business cards and be ready to tell about yourself,Sumner County Moms in Business,9,Career & Business,2,2017,10,2
243191812,WORKSHOP EXCLUSIVELY FOR WOMEN: How Not to Run Out of Money in Retirement,For Women Only - How to Not Run Out of Cash in Retirement,9,Career & Business,2,2017,10,1
244176688,We're on!  Our first meetup opportunity is here!,Williamson Co. 50+ Professional Singles Tired of Mediocrity,10,Singles,3,2017,10,0
244260247,Free Music Day @ Schermerhorn!,Marigolds Author Group + Travel Club for Christian Women 50+,10,Arts & Culture,8,2017,10,5
243952541,Southern Festival of Books,Marigolds Author Group + Travel Club for Christian Women 50+,10,Arts & Culture,8,2017,10,4
242620496,Volunteer Opportunity @ Southern Festival of Books,Marigolds Author Group + Travel Club for Christian Women 50+,10,Arts & Culture,8,2017,9,5
243534371,Kenny Loggins at Nashville Symphony,Marigolds Author Group + Travel Club for Christian Women 50+,10,Arts & Culture,8,2017,9,5
241622756,Solar Eclipse Viewing Party & Festival @ Adventure Science Center,Marigolds Author Group + Travel Club for Christian Women 50+,10,Arts & Culture,8,2017,8,0
242493691,"Flash Movie ""Girls Trip""",Marigolds Author Group + Travel Club for Christian Women 50+,10,Arts & Culture,8,2017,8,6
241622468,Marigolds Author Coffee & Conversation @ The Avenue,Marigolds Author Group + Travel Club for Christian Women 50+,10,Arts & Culture,8,2017,7,5
241361103,Lunch @ Salsa Puerto Rican and Latin Cuisine in the Gulch,Marigolds Author Group + Travel Club for Christian Women 50+,10,Arts & Culture,8,2017,7,5
240244969,The Great Meeting,Das Squad,10,Book Clubs,1,2017,6,3
nwnntnywnbgc,Tuesday Meeting,Music Row Professional Group,10,Career & Business,18,2017,10,1
cjvbwnywnbgc,Tuesday Networking,Music Row Professional Group,10,Career & Business,18,2017,10,1
nwnntnywnbwb,Tuesday Meeting,Music Row Professional Group,10,Career & Business,18,2017,10,1
cjvbwnywnbwb,Tuesday Networking,Music Row Professional Group,10,Career & Business,18,2017,10,1
nwnntnywnbnb,Tuesday Meeting,Music Row Professional Group,10,Career & Business,18,2017,10,1
nwnntnywnbfb,Tuesday Meeting,Music Row Professional Group,10,Career & Business,18,2017,10,1
zwgntnywnbjc,Motivate and support other diabetics on their path to greater well-being.,Franklin Diabetes Meetup,11,Health & Wellbeing,2,2017,10,4
zwgntnywnbzb,Motivate and support other diabetics on their path to greater well-being.,Franklin Diabetes Meetup,11,Health & Wellbeing,2,2017,10,4
241215543,Tennessee Brew Works- first meeting!,Nashville Feminist Meetup,10,Movements & Politics,1,2017,7,2
244479480,Moss Wright Park Meetup,Goodlettsville Roadrunners,11,Fitness,4,2017,10,5
244293547,Moss Right Park,Goodlettsville Roadrunners,11,Fitness,4,2017,10,5
244246979,Moss Right Park,Goodlettsville Roadrunners,11,Fitness,4,2017,10,1
241173421,Picnic and Hack at Old Stone Fort,Ingress,11,Games,5,2017,7,5
240970877,Farm and Trivia,Ingress,11,Games,5,2017,6,2
244441929,Baby Wearing and Stroller (off road) Hike,Denise Vaughn's Baby Wearing Group Hike,11,Outdoors & Adventure,5,2017,10,1
243852102,Baby Wearing Hike 10/3,Denise Vaughn's Baby Wearing Group Hike,11,Outdoors & Adventure,5,2017,10,1
243658466,Baby Wearing Group Hike ,Denise Vaughn's Baby Wearing Group Hike,11,Outdoors & Adventure,5,2017,9,1
243468926,Wed 9/20 Baby Wearing Group Hike,Denise Vaughn's Baby Wearing Group Hike,11,Outdoors & Adventure,5,2017,9,2
242971373,Denise Vaughn's Baby Wearing Group Hike,Denise Vaughn's Baby Wearing Group Hike,11,Outdoors & Adventure,5,2017,9,2
233512149,An Evening of Grace and Conversation,Cincinnati Conversation about Moments of Grace,12,Socializing,1,2016,9,5
243739470,Nashville IIBA 2017 Professional Day - Game Changer,IIBA Nashville Chapter Meetup,13,Career & Business,5,2017,10,2
wnbpkmywnbkc,"Create  music, video , graphics content for stereo vison.",Nashville Music Performance Playground,14,Music,10,2017,10,4
wnbpkmywmbmc,"Create  music, video , graphics content for stereo vison.",Nashville Music Performance Playground,14,Music,10,2017,9,4
wnbpkmywlbhc,"Create  music, video , graphics content for stereo vison.",Nashville Music Performance Playground,14,Music,10,2017,8,4
wnbpkmywkblc,"Create  music, video , graphics content for stereo vison.",Nashville Music Performance Playground,14,Music,10,2017,7,4
wnbpkmywjbnc,"Create  music, video , graphics content for stereo vison.",Nashville Music Performance Playground,14,Music,10,2017,6,4
wnbpkmywhbjc,"Create  music, video , graphics content.",Nashville Music Performance Playground,14,Music,10,2017,5,4
wnbpkmywgblc,"Create  music, video , graphics content for stereo vison.",Nashville Music Performance Playground,14,Music,10,2017,4,4
wnbpkmywfbpc,"Create  music, video , graphics content for stereo vision.",Nashville Music Performance Playground,14,Music,10,2017,3,4
wnbpkmywfbgb,Communicate  your audatious  and unique ideas to me in advance.,Nashville Music Performance Playground,14,Music,10,2017,3,5
wnbpkmywdbgb,Communicate  your audatious  A/V  music performance  ideas.,Nashville Music Performance Playground,14,Music,10,2017,2,5
243942299,Transplant meet up with cocktails,Los Angeles to Nasville transplants,15,Socializing,4,2017,10,5
244492876,Edwin Warner Park then Lunch!,West Meade Cyclists,15,Fitness,5,2017,10,6
244322390,Saturday Afternoon Ride!,West Meade Cyclists,15,Fitness,5,2017,10,5
